turn_id,text,label_failure,outcome_type,source,conversation_id
public-155-34,Could you walk me through the refund process step by step?,0,none,public,conv-155
synthetic-273-32,!!! ESCALATE ESCALATE ESCALATE this is ridiculous!!! !!!,1,repeated_correction,synthetic,conv-273
synthetic-448-27,Quick question: Please help me understand my account balance for March.,0,none,synthetic,conv-448
synthetic-315-74,"I hate this stupid broken service, escalate me to a human NOW Again: I hate this stupid broken service, escalate me to a human NOW",1,repeated_correction,synthetic,conv-315
public-135-14,Could you walk me through the refund process step by step?,0,none,public,conv-135
synthetic-445-24,"That worked perfectly, appreciate your help today. Thank you.",0,none,synthetic,conv-445
synthetic-419-178,"I am so angry and frustrated, this is the worst experience ever I need a supervisor immediately.",1,repeated_correction,synthetic,conv-419
public-133-12,I would like to change my shipping address on order 4421.,0,none,public,conv-133
public-221-100,"Thanks for the update, that answers my question.",0,none,public,conv-221
synthetic-269-28,"I hate this stupid broken service, escalate me to a human NOW I need a supervisor immediately.",1,repeated_correction,synthetic,conv-269
synthetic-357-116,"!!! Terrible awful useless response, I am abandoning this chat !!!",1,repeated_correction,synthetic,conv-357
synthetic-595-174,Quick question: I would like to change my shipping address on order 4421.,0,none,synthetic,conv-595
synthetic-410-169,!!! Stop ignoring me!!! I already told you three times!!! !!!,1,repeated_correction,synthetic,conv-410
synthetic-547-126,Please help me understand my account balance for March. Thank you.,0,none,synthetic,conv-547
synthetic-543-122,"Hi, Could you walk me through the refund process step by step?",0,none,synthetic,conv-543
synthetic-512-91,"That worked perfectly, appreciate your help today. Thank you.",0,none,synthetic,conv-512
synthetic-350-109,Wrong again. Wrong again. Wrong again. Fix it immediately!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-350
public-122-1,"No further action needed from my side, all good here.",0,none,public,conv-122
synthetic-293-52,ESCALATE ESCALATE ESCALATE this is ridiculous!!! Again: ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,repeated_correction,synthetic,conv-293
synthetic-516-95,"Quick question: Thanks for the update, that answers my question.",0,none,synthetic,conv-516
synthetic-428-7,"Hi, Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-428
synthetic-519-98,I would like to change my shipping address on order 4421. Thank you.,0,none,synthetic,conv-519
synthetic-532-111,"That worked perfectly, appreciate your help today. Thank you.",0,none,synthetic,conv-532
synthetic-382-141,"Terrible awful useless response, I am abandoning this chat Again: Terrible awful useless response, I am abandoning this chat",1,repeated_correction,synthetic,conv-382
synthetic-583-162,"Quick question: No further action needed from my side, all good here.",0,none,synthetic,conv-583
synthetic-358-117,"I hate this stupid broken service, escalate me to a human NOW I need a supervisor immediately.",1,repeated_correction,synthetic,conv-358
public-188-67,Could you walk me through the refund process step by step?,0,none,public,conv-188
public-86-85,ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,escalation,public,conv-86
synthetic-387-146,ESCALATE ESCALATE ESCALATE this is ridiculous!!! Again: ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,repeated_correction,synthetic,conv-387
public-110-109,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-110
synthetic-560-139,I would like to change my shipping address on order 4421. Thank you.,0,none,synthetic,conv-560
public-180-59,"No further action needed from my side, all good here.",0,none,public,conv-180
public-203-82,Please help me understand my account balance for March.,0,none,public,conv-203
public-132-11,Please help me understand my account balance for March.,0,none,public,conv-132
public-141-20,"That worked perfectly, appreciate your help today.",0,none,public,conv-141
public-185-64,"Great, the new password reset flow makes sense to me now.",0,none,public,conv-185
synthetic-354-113,Stop ignoring me!!! I already told you three times!!! Again: Stop ignoring me!!! I already told you three times!!!,1,repeated_correction,synthetic,conv-354
public-144-23,Please help me understand my account balance for March.,0,none,public,conv-144
public-174-53,"That worked perfectly, appreciate your help today.",0,none,public,conv-174
public-50-49,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,escalation,public,conv-50
synthetic-288-47,!!! Wrong again. Wrong again. Wrong again. Fix it immediately!!! !!!,1,repeated_correction,synthetic,conv-288
synthetic-493-72,"Hi, No further action needed from my side, all good here.",0,none,synthetic,conv-493
public-126-5,"Thanks for the update, that answers my question.",0,none,public,conv-126
synthetic-430-9,"Thanks for the update, that answers my question. Thank you.",0,none,synthetic,conv-430
synthetic-348-107,Stop ignoring me!!! I already told you three times!!! Again: Stop ignoring me!!! I already told you three times!!!,1,repeated_correction,synthetic,conv-348
public-100-99,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-100
synthetic-255-14,"I hate this stupid broken service, escalate me to a human NOW Again: I hate this stupid broken service, escalate me to a human NOW",1,repeated_correction,synthetic,conv-255
synthetic-522-101,Quick question: Please help me understand my account balance for March.,0,none,synthetic,conv-522
public-58-57,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-58
synthetic-521-100,"No further action needed from my side, all good here. Thank you.",0,none,synthetic,conv-521
synthetic-480-59,"Thanks for the update, that answers my question. Thank you.",0,none,synthetic,conv-480
public-208-87,Could you walk me through the refund process step by step?,0,none,public,conv-208
public-216-95,"No further action needed from my side, all good here.",0,none,public,conv-216
